eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType,cluster_index
2858,EMEC,1339,1,1,1,1,1,,35.50,34.30,,,,999,,6.9,,MW,0
2860,EMEC,1343,1,1,1,1,1,,36.20,33.30,,,,30,,6.5,,MW,0
70727,SBEI,1344,1,2,1,1,1,,37.40,36.70,,,,30,,6.8,,MW,0
2872,EMEC,1347,12,8,1,1,1,,31.20,30.00,,,,999,,4.8,,MW,0
2879,EMEC,1350,7,1,1,1,1,,32.60,34.70,,,,999,,7.0,,MW,0
2880,EMEC,1352,10,11,1,1,1,,31.20,30.00,,,,999,,4.4,,MW,0
70976,SHARE,1355,1,1,0,0,0,,35.75,35.60,,,,999,,5.4,,MW,0
2906,EMEC,1366,1,1,1,1,1,,35.50,33.00,,,,999,,4.8,,MW,0
2914,EMEC,1373,10,19,1,1,1,,31.20,30.00,,,,999,,4.4,,MW,0
2920,EMEC,1385,9,19,1,1,1,,31.20,30.00,,,,999,,4.2,,MW,0
2922,EMEC,1386,7,17,7,45,1,,31.20,30.00,,,,999,,4.2,,MW,0
2931,EMEC,1392,4,13,1,1,1,,33.00,35.00,,,,999,,6.5,,MW,0
2938,EMEC,1399,9,20,1,1,1,,36.30,33.50,,,,999,,4.2,,MW,0
2945,EMEC,1403,12,18,1,1,1,,37.20,36.20,,,,999,,6.5,,MW,20
70728,SBEI,1404,2,20,1,1,1,,36.20,35.70,,,,30,,7.4,,MW,0
2954,EMEC,1407,4,29,1,1,1,,36.30,35.70,,,,999,,6.9,,MW,10
2972,EMEC,1422,6,28,1,1,1,,31.20,30.00,,,,999,,4.2,,MW,0
2975,EMEC,1425,6,23,3,1,1,,31.20,30.00,,,,999,,5.2,,MW,0
2991,EMEC,1434,11,6,1,1,1,,31.20,30.00,,,,999,,4.6,,MW,0
2995,EMEC,1438,2,13,14,1,1,,31.20,30.00,,,,999,,4.1,,MW,0
3017,EMEC,1455,3,6,1,1,1,,31.20,30.00,,,,999,,4.6,,MW,0
51,AM06,1458,11,16,1,1,1,,35.30,31.00,,,,999,,6.9,,MS,0
3040,EMEC,1467,12,14,1,1,1,,31.20,30.00,,,,999,,5.2,,MW,0
3057,EMEC,1476,10,20,1,1,1,,31.20,30.00,,,,999,,4.8,,MW,0
3063,EMEC,1479,10,16,8,1,1,,33.40,35.20,,,,999,,5.0,,MW,0
3077,EMEC,1483,6,14,1,1,1,,31.20,30.00,,,,999,,4.4,,MW,0
3080,EMEC,1484,3,29,1,1,1,,37.20,36.20,,,,999,,4.8,,MW,0
3089,EMEC,1491,4,24,17,1,1,,33.40,34.90,,,,999,,6.5,,MW,0
3100,EMEC,1498,9,18,1,1,1,,31.20,30.00,,,,999,,4.8,,MW,0
3146,EMEC,1513,1,1,1,1,1,,36.50,37.50,,,,14,,7.5,,MW,0
3217,EMEC,1546,1,14,11,1,1,,35.30,32.00,,,,999,,6.1,,MW,0
3263,EMEC,1567,4,25,1,1,1,,33.00,34.50,,,,999,,5.3,,MW,0
71381,SHARE,1567,10,7,0,0,0,,33.05,34.65,,,,999,,5.4,,MW,89
70730,SBEI,1568,10,10,1,1,1,,35.50,35.50,,,,12,,6.1,,MS,0
3302,EMEC,1577,1,28,1,1,1,,33.00,34.50,,,,999,,5.8,,MW,0
52,AM06,1588,1,4,1,1,1,,36.00,29.00,,,,999,,7.0,,MS,0
3339,EMEC,1588,4,7,6,1,1,,31.60,29.40,,,,999,,5.2,,MW,0
70731,SBEI,1626,1,21,1,1,1,,37.10,36.50,,,,20,,7.3,,MW,0
3608,EMEC,1656,2,1,1,1,1,,36.20,34.90,,,,999,,6.7,,MW,0
70733,SBEI,1705,11,24,1,1,1,,36.60,33.70,,,,35,,6.9,,MW,0
3917,EMEC,1718,12,10,1,1,1,,33.25,35.25,,,,999,,6.3,,MW,0
70734,SBEI,1726,4,15,1,1,1,,36.60,36.30,,,,15,,6.1,,MW,0
4014,EMEC,1735,12,1,1,1,1,,34.00,35.00,,,,999,,6.3,,MW,0
70735,SBEI,1738,9,25,1,1,1,,36.50,36.70,,,,10,,6.2,,MW,0
4073,EMEC,1746,7,5,1,1,1,,36.00,33.00,,,,999,,5.2,,MW,0
72301,SHARE,1752,7,21,0,0,0,,35.75,35.60,,,,999,,6.8,,MW,0
4116,EMEC,1753,12,16,1,1,1,,36.00,33.00,,,,999,,6.0,,MW,0
72344,SHARE,1756,1,17,0,0,0,,33.40,35.10,,,,999,,5.0,,MW,0
7,AM06,1759,11,25,1,1,1,,35.90,33.70,,,,30,,7.2,,MS,5
70738,SBEI,1796,4,26,1,1,1,,36.20,35.30,,,,20,,6.8,,MW,12
4548,EMEC,1802,1,1,1,1,1,,36.20,34.00,,,,999,,6.1,,MW,0
4666,EMEC,1814,1,1,1,1,1,,35.80,32.80,,,,999,,6.0,,MW,0
70739,SBEI,1822,8,13,1,1,1,,36.80,36.70,,,,999,,7.4,,MW,1
4887,EMEC,1834,5,23,4,1,1,,35.60,31.30,,,,999,,6.1,,MW,0
55,AM06,1837,1,1,1,1,1,,35.50,33.30,,,,999,,6.9,,MS,0
73394,SHARE,1842,7,12,0,0,0,,30.00,37.50,,,,999,,5.4,,MW,0
73432,SHARE,1845,2,21,0,0,0,,33.40,35.15,,,,999,,5.0,,MW,0
5061,EMEC,1847,8,7,8,15,1,,30.80,29.70,,,,999,,5.9,,MW,0
5561,EMEC,1868,2,20,3,15,1,,33.00,32.00,,,,999,,5.6,,MW,0
56,AM06,1872,4,3,1,1,1,,36.20,36.20,,,,10,,6.0,,MS,31
74245,SHARE,1875,8,21,0,0,0,,36.10,36.20,,,,999,,5.8,,MW,0
74272,SHARE,1876,6,1,0,0,0,,30.20,37.70,,,,999,,5.4,,MW,0
