Agency,ErrorStrike,SemiMajor90,SemiMinor90,cluster_flag,cluster_index,comment,day,depth,depthError,eventID,flag,hour,latitude,longitude,magnitude,magnitudeType,minute,month,second,sigmaMagnitude,timeError,year
SBEI,,,,0,0,,13,25.0,,70723,,1,35.200000000000003,36.600000000000001,6.5999999999999996,MS,1,7,1.0,0.20000000000000001,,1157
EMEC,,,,0,0,,15,999.0,,2728,,1,34.5,36.5,6.0,MW,1,7,1.0,0.0,,1157
EMEC,,,,0,0,,1,999.0,,2730,,1,32.0,32.600000000000001,6.0,MW,1,1,1.0,0.0,,1160
EMEC,,,,0,0,,1,999.0,,2734,,1,36.200000000000003,36.100000000000001,6.7999999999999998,MW,1,8,1.0,0.0,,1163
AM06,,,,0,0,,29,35.0,,4,,1,34.700000000000003,36.399999999999999,6.5999999999999996,MS,1,6,1.0,0.20000000000000001,,1170
EMEC,,,,0,0,,1,999.0,,2744,,1,32.600000000000001,36.700000000000003,6.5,MW,1,1,1.0,0.0,,1182
EMEC,,,,0,0,,1,999.0,,2746,,1,34.75,32.5,6.2999999999999998,MW,1,1,1.0,0.0,,1183
SHARE,,,,0,0,,1,999.0,,70837,,0,37.149999999999999,33.200000000000003,6.2000000000000002,MW,0,6,0.0,0.0,,1190
AM06,,,,0,0,,20,30.0,,5,,1,33.700000000000003,35.899999999999999,7.0,MS,1,5,1.0,0.20000000000000001,,1202
AM06,,,,0,0,,1,999.0,,50,,1,30.0,35.0,6.9000000000000004,MS,1,5,1.0,0.20000000000000001,,1212
EMEC,,,,0,0,,22,999.0,,2759,,1,37.200000000000003,32.299999999999997,7.0,MW,1,6,1.0,0.0,,1213
EMEC,,,,0,0,,11,999.0,,2762,,6,34.700000000000003,32.799999999999997,6.7999999999999998,MW,15,5,1.0,0.0,,1222
EMEC,,,,0,0,,22,999.0,,2785,,1,32.5,35.5,6.5,MW,1,3,1.0,0.0,,1259
EMEC,,,,0,0,,1,999.0,,2786,,1,34.0,35.5,7.0999999999999996,MW,1,1,1.0,0.0,,1261
SHARE,,,,0,0,,1,999.0,,70884,,0,37.350000000000001,35.799999999999997,6.7999999999999998,MW,0,1,0.0,0.0,,1268
EMEC,,,,0,0,,17,999.0,,2792,,17,37.0,36.600000000000001,7.0,MW,1,4,1.0,0.0,,1269
EMEC,,,,0,0,,1,999.0,,2810,,1,33.299999999999997,36.200000000000003,6.7999999999999998,MW,1,1,1.0,0.0,,1284
SHARE,,,,0,21,,1,999.0,,70909,,0,35.600000000000001,35.75,6.2000000000000002,MW,0,1,0.0,0.0,,1287
EMEC,,,,0,45,,1,999.0,,2814,,1,34.700000000000003,36.700000000000003,5.7999999999999998,MW,1,2,1.0,0.0,,1287
EMEC,,,,0,0,,2,999.0,,2817,,1,33.0,35.5,6.5,MW,1,4,1.0,0.0,,1287
SHARE,,,,0,0,,1,999.0,,70913,,0,35.600000000000001,35.75,5.4000000000000004,MW,0,1,0.0,0.0,,1290
EMEC,,,,0,0,,1,999.0,,2821,,1,30.0,31.199999999999999,5.2999999999999998,MW,1,1,1.0,0.0,,1293
EMEC,,,,0,0,,11,999.0,,2822,,1,32.0,34.899999999999999,6.0,MW,1,1,1.0,0.0,,1293
EMEC,,,,0,0,,1,999.0,,2839,,1,27.699999999999999,34.0,6.5999999999999996,MW,1,5,1.0,0.0,,1312
EMEC,,,,0,0,,20,999.0,,2846,,1,33.5,36.299999999999997,5.2000000000000002,MW,1,1,1.0,0.0,,1322
EMEC,,,,0,0,,1,999.0,,2858,,1,34.299999999999997,35.5,6.9000000000000004,MW,1,1,1.0,0.0,,1339
EMEC,,,,0,0,,1,30.0,,2860,,1,33.299999999999997,36.200000000000003,6.5,MW,1,1,1.0,0.0,,1343
SBEI,,,,0,0,,2,30.0,,70727,,1,36.700000000000003,37.399999999999999,6.7999999999999998,MW,1,1,1.0,0.0,,1344
EMEC,,,,0,0,,8,999.0,,2872,,1,30.0,31.199999999999999,4.7999999999999998,MW,1,12,1.0,0.0,,1347
EMEC,,,,0,0,,1,999.0,,2879,,1,34.700000000000003,32.600000000000001,7.0,MW,1,7,1.0,0.0,,1350
EMEC,,,,0,0,,11,999.0,,2880,,1,30.0,31.199999999999999,4.4000000000000004,MW,1,10,1.0,0.0,,1352
SHARE,,,,0,0,,1,999.0,,70976,,0,35.600000000000001,35.75,5.4000000000000004,MW,0,1,0.0,0.0,,1355
EMEC,,,,0,0,,1,999.0,,2906,,1,33.0,35.5,4.7999999999999998,MW,1,1,1.0,0.0,,1366
EMEC,,,,0,0,,19,999.0,,2914,,1,30.0,31.199999999999999,4.4000000000000004,MW,1,10,1.0,0.0,,1373
EMEC,,,,0,0,,19,999.0,,2920,,1,30.0,31.199999999999999,4.2000000000000002,MW,1,9,1.0,0.0,,1385
EMEC,,,,0,0,,17,999.0,,2922,,7,30.0,31.199999999999999,4.2000000000000002,MW,45,7,1.0,0.0,,1386
EMEC,,,,0,0,,13,999.0,,2931,,1,35.0,33.0,6.5,MW,1,4,1.0,0.0,,1392
EMEC,,,,0,0,,20,999.0,,2938,,1,33.5,36.299999999999997,4.2000000000000002,MW,1,9,1.0,0.0,,1399
SBEI,,,,0,4,,20,30.0,,70728,,1,35.700000000000003,36.200000000000003,7.4000000000000004,MW,1,2,1.0,0.0,,1404
EMEC,,,,0,0,,29,999.0,,2954,,1,35.700000000000003,36.299999999999997,6.9000000000000004,MW,1,4,1.0,0.0,,1407
SBEI,,,,0,0,,29,25.0,,70729,,1,35.799999999999997,36.100000000000001,7.4000000000000004,MW,1,12,1.0,0.0,,1408
EMEC,,,,0,0,,28,999.0,,2972,,1,30.0,31.199999999999999,4.2000000000000002,MW,1,6,1.0,0.0,,1422
EMEC,,,,0,0,,23,999.0,,2975,,3,30.0,31.199999999999999,5.2000000000000002,MW,1,6,1.0,0.0,,1425
EMEC,,,,0,0,,6,999.0,,2991,,1,30.0,31.199999999999999,4.5999999999999996,MW,1,11,1.0,0.0,,1434
EMEC,,,,0,0,,13,999.0,,2995,,14,30.0,31.199999999999999,4.0999999999999996,MW,1,2,1.0,0.0,,1438
EMEC,,,,0,0,,6,999.0,,3017,,1,30.0,31.199999999999999,4.5999999999999996,MW,1,3,1.0,0.0,,1455
AM06,,,,0,0,,16,999.0,,51,,1,31.0,35.299999999999997,6.9000000000000004,MS,1,11,1.0,0.20000000000000001,,1458
EMEC,,,,0,0,,14,999.0,,3040,,1,30.0,31.199999999999999,5.2000000000000002,MW,1,12,1.0,0.0,,1467
EMEC,,,,0,0,,20,999.0,,3057,,1,30.0,31.199999999999999,4.7999999999999998,MW,1,10,1.0,0.0,,1476
EMEC,,,,0,0,,16,999.0,,3063,,8,35.200000000000003,33.399999999999999,5.0,MW,1,10,1.0,0.0,,1479
