31.95,26.55,0.18,0.54,0.19,0.09
31.95,30.55,0.10,0.52,0.27,0.11
31.95,34.55,0.04,0.34,0.35,0.27
31.95,38.55,0.11,0.39,0.18,0.32
35.95,26.55,0.23,0.66,0.10,0.01
35.95,30.55,0.18,0.67,0.11,0.04
35.95,34.55,0.23,0.53,0.12,0.12
35.95,38.55,0.14,0.51,0.14,0.21
39.95,26.55,0.22,0.65,0.09,0.04
39.95,30.55,0.19,0.59,0.14,0.08
39.95,34.55,0.16,0.58,0.15,0.11
39.95,38.55,0.14,0.58,0.11,0.17
